RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JB508998,,11/08/2018 09:17:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",11/08/2018 09:17:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5199,W,MAYPOLE AVE,1532,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,21,5,11,41.884211788,-87.755144314,POINT (-87.755144313674 41.884211788137)
JB508991,,11/08/2018 09:15:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2018 09:29:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1598,W,AUGUSTA BLVD,1213,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,5,11,41.899818211,-87.667368914,POINT (-87.66736891433 41.899818211488)
JB509001,,11/08/2018 09:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/08/2018 09:30:00 PM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,6300,S,HALSTED ST,723,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,5,11,41.7796575,-87.644930993,POINT (-87.644930992789 41.779657500363)
JB509754,,11/08/2018 08:45:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/09/2018 02:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1833,W,103RD ST,2212,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,5,11,41.706485208,-87.668447985,POINT (-87.668447985036 41.706485207961)
JB508994,,11/08/2018 08:40:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2018 09:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,600,N,LAKE SHORE DR,1834,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.892748209,-87.614686796,POINT (-87.614686796014 41.892748209238)
JB509665,,11/08/2018 08:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/09/2018 12:55:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6700,S,LAFAYETTE AVE,722,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,5,11,41.772655335,-87.626908853,POINT (-87.626908852725 41.772655335362)
JB508959,,11/08/2018 08:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/08/2018 08:34:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,839,W,ROOSEVELT RD,1232,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,20,5,11,41.86701903,-87.648455303,POINT (-87.648455303162 41.86701903034)
JB510057,,11/08/2018 08:24:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,PARKING LOT,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",11/09/2018 05:52:00 PM,IMPROPER BACKING,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4100,S,ASHLAND AVE,924,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.819441426,-87.665375545,POINT (-87.665375544909 41.819441426296)
JB508948,,11/08/2018 08:18:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 08:18:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,4009,W,NORTH AVE,2534,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.909770483,-87.726790015,POINT (-87.726790015276 41.909770483043)
JB508953,,11/08/2018 08:03:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),3,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/08/2018 08:04:00 PM,IMPROPER LANE USAGE,FAILING TO YIELD RIGHT-OF-WAY,352,N,CLARK ST,1831,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,5,11,41.888958604,-87.631200536,POINT (-87.631200535882 41.888958604423)
JB508985,Y,11/08/2018 08:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2018 09:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,217,N,STATE ST,111,N,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,20,5,11,41.886219986,-87.627803654,POINT (-87.627803654059 41.886219985985)
JB508966,,11/08/2018 07:55:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2018 08:35:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,6258,N,CALIFORNIA AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.995676749,-87.699720229,POINT (-87.699720229284 41.995676749255)
JB508931,,11/08/2018 07:55:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/08/2018 07:57:00 PM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,3352,W,FOSTER AVE,1712,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,4,0,19,5,11,41.975805124,-87.713261953,POINT (-87.71326195264 41.975805123579)
JB508913,,11/08/2018 07:48:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 07:48:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3600,W,LAKE ST,1123,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,5,11,41.88503193,-87.716047736,POINT (-87.716047735724 41.885031930422)
JB508958,,11/08/2018 07:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,2,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/08/2018 08:22:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4158,N,KIMBALL AVE,1723,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,19,5,11,41.957470891,-87.713172149,POINT (-87.713172148543 41.957470891486)
JB508925,,11/08/2018 07:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/08/2018 07:35:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,2001,N,WESTERN AVE,1432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.917607892,-87.687263997,POINT (-87.687263997163 41.917607891577)
JB508912,,11/08/2018 07:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 07:33:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,5102,S,DREXEL AVE,233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.802122937,-87.604311367,POINT (-87.604311367385 41.802122937478)
JB508918,,11/08/2018 07:25:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/08/2018 07:31:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1028,W,MADISON ST,1224,,,,,,,1,INCAPACITATING INJURY,1,0,1,0,0,0,0,19,5,11,41.881790567,-87.653139687,POINT (-87.653139687455 41.881790567074)
JB509585,,11/08/2018 07:24:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/09/2018 12:00:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,15,S,DAMEN AVE,1223,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.880819453,-87.676485217,POINT (-87.676485216618 41.880819453082)
JB513210,,11/08/2018 07:10:00 PM,30,UNKNOWN,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/12/2018 02:16:00 PM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,4242,N,NARRAGANSETT AVE,1632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.95777848,-87.786892869,POINT (-87.786892869196 41.95777847983)
JB509023,,11/08/2018 07:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/08/2018 09:59:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,4608,W,NORTH AVE,2533,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,5,11,41.909787573,-87.741777655,POINT (-87.741777655127 41.909787573079)
JB508930,Y,11/08/2018 07:05:00 PM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/08/2018 08:10:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1317,N,WESTERN AVE,1424,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,19,5,11,41.905388554,-87.686943404,POINT (-87.686943403595 41.90538855379)
JB508873,,11/08/2018 06:45:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DARKNESS,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2018 07:15:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,958,W,WRIGHTWOOD AVE,1935,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.92911852,-87.65367651,POINT (-87.653676510271 41.929118519817)
JB508897,,11/08/2018 06:39:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/08/2018 07:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,759,N,KEDZIE AVE,1221,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.895464659,-87.706406459,POINT (-87.706406459259 41.895464659105)
JB508863,,11/08/2018 06:38:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",11/08/2018 06:59:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7856,S,DR MARTIN LUTHER KING JR DR,623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.75126026,-87.615109055,POINT (-87.615109054569 41.751260260102)
JB508887,,11/08/2018 06:31:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/08/2018 06:31:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,599,S,STATE ST,123,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,5,11,41.874608567,-87.627465557,POINT (-87.627465556697 41.87460856672)
JB508861,,11/08/2018 06:31:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/08/2018 06:57:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,600,E,OHIO ST,1834,,,,,,,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,0,18,5,11,41.892458462,-87.611698791,POINT (-87.61169879114 41.892458461838)
JB509990,,11/08/2018 06:30:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PEDESTRIAN,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/09/2018 05:20:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3165,N,KOSTNER AVE,2523,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.938873166,-87.736883972,POINT (-87.73688397239 41.938873166214)
JB509005,,11/08/2018 06:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/08/2018 09:45:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,3606,N,CICERO AVE,1634,Y,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.946351912,-87.747229227,POINT (-87.747229226589 41.946351911514)
JB508951,,11/08/2018 06:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/08/2018 08:37:00 PM,NOT APPLICABLE,NOT APPLICABLE,4800,W,CHICAGO AVE,1531,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.895112219,-87.745932427,POINT (-87.745932427015 41.895112218578)
JB508902,,11/08/2018 06:30:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2018 07:40:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,7101,S,CICERO AVE,833,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.764292465,-87.741752607,POINT (-87.741752607214 41.764292464973)
JB508868,,11/08/2018 06:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2018 07:10:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,7201,W,BELMONT AVE,2511,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.937885966,-87.806805506,POINT (-87.8068055064 41.937885966284)
JB508864,,11/08/2018 06:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/08/2018 06:30:00 PM,FOLLOWING TOO CLOSELY,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,4928,W,IRVING PARK RD,1624,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.953484401,-87.750976511,POINT (-87.750976511146 41.953484401296)
JB508846,,11/08/2018 06:22:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REAR END,UNKNOWN,4,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"$501 - $1,500",11/08/2018 06:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,11055,S,WESTERN AVE,2212,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,5,11,41.692361519,-87.681026438,POINT (-87.681026438224 41.692361518817)
JB508870,,11/08/2018 06:20:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/08/2018 06:25:00 PM,IMPROPER LANE USAGE,IMPROPER TURNING/NO SIGNAL,8801,W,IRVING PARK RD,1631,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,5,11,41.952503701,-87.84636088,POINT (-87.846360880347 41.952503701103)
JB508838,,11/08/2018 06:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2018 06:30:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,5220,N,NAGLE AVE,1613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.97625676,-87.788008296,POINT (-87.788008296216 41.976256760265)
JB508818,,11/08/2018 06:15:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 06:30:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,3600,N,CLARK ST,1923,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.947202225,-87.656687756,POINT (-87.656687755593 41.947202225469)
JB508869,,11/08/2018 06:05:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/08/2018 07:13:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,421,N,ORLEANS ST,1831,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.889907608,-87.636607718,POINT (-87.636607718422 41.889907608474)
JB509954,,11/08/2018 06:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/09/2018 04:54:00 PM,IMPROPER LANE USAGE,IMPROPER LANE USAGE,741,N,CLARK ST,1832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,18,5,11,41.896106773,-87.631088739,POINT (-87.631088739378 41.896106772972)
JB508850,,11/08/2018 06:00:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,PARKING LOT,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",11/08/2018 06:57:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8628,S,COTTAGE GROVE AVE,632,,Y,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,5,11,41.737581396,-87.604996231,POINT (-87.604996230941 41.737581395989)
JB508827,,11/08/2018 06:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",11/08/2018 06:02:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,5900,W,ADDISON ST,1633,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.945905182,-87.774188765,POINT (-87.774188764562 41.945905181612)
JB508820,,11/08/2018 06:00:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/08/2018 06:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2400,W,FOSTER AVE,2011,,,,,,,3,NO INDICATION OF INJURY,0,0,0,0,0,3,0,18,5,11,41.97600019,-87.689275084,POINT (-87.689275083854 41.976000189766)
JB508932,,11/08/2018 05:55:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/08/2018 08:15:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,530,W,MADISON ST,121,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,5,11,41.881973568,-87.641127256,POINT (-87.64112725634 41.881973567755)
